Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m),Thrust (N)
0.002,7.682959644706423,3358559.0904029263,0.026000000000000002,1.2651,0.97,128939.06185777417,4,138.6770231190571,0.33721478440230523,813.7618225646941,4.612682125846103,2.7330627344580147,1208,0.075,0.67,2541.382422229106
0.004,7.679899828287683,4081375.636122668,0.026000000000000002,1.2591,0.97,158495.14201430808,4,138.6770231190571,0.3377617243317639,813.7618225646941,4.609472662419363,2.7326654415365557,1208,0.075,0.67,3136.3764725288784
0.006,7.677556030042405,3368116.028397117,0.026000000000000002,1.2651,0.97,129305.96402803075,4,138.60169804912053,0.338085658753835,813.8776361370856,4.6071492156971185,2.732321155591451,1208,0.075,0.67,2549.2079966444144
0.008,7.6745037367448825,4074076.65475312,0.026000000000000002,1.2591,0.97,158211.69515916263,4,138.60169804912053,0.33863071003058387,813.8776361370856,4.603948641310671,2.7319243854036275,1208,0.075,0.67,3130.3942076880467
0.01,7.672150101720349,3392974.5443618814,0.026000000000000002,1.2651,0.97,130260.31190204382,4,138.52642788201769,0.33895531627432085,813.993398998645,4.601615464963772,2.731579320482256,1208,0.075,0.67,2569.5630692267246
0.012,7.6691136190461044,4059496.1484633572,0.026000000000000002,1.2591,0.97,157645.47934835037,4,138.52642788201769,0.33949690072373606,813.993398998645,4.598433067398449,2.7311836509239193,1208,0.075,0.67,3118.4439853593985
0.014,7.6667374428229795,3415087.080618244,0.026000000000000002,1.2651,0.97,131109.23836230428,4,138.4512125450085,0.3398245776696456,814.1091112193662,4.596076058151643,2.7308368070016917,1208,0.075,0.67,2587.669632028592
0.016,7.663716276715492,4044983.4563249927,0.026000000000000002,1.2591,0.97,157081.89701568737,4,138.4512125450085,0.3403627955757189,814.1091112193662,4.592911274737315,2.730442206402459,1208,0.075,0.67,3106.549343692363
0.018000000000000002,7.661319153975944,3450560.999095957,0.026000000000000002,1.2651,0.97,132471.12411325195,4,138.37605196551806,0.340693238502336,814.2247728690858,4.590532198635534,2.730093716838074,1208,0.075,0.67,2616.716988935026
0.020000000000000004,7.658314300182107,4008450.950847901,0.026000000000000002,1.2591,0.97,155663.20264399485,4,138.37605196551806,0.3412279061958019,814.2247728690858,4.58738613632859,2.729700257657715,1208,0.075,0.67,3076.6072035500583
0.022000000000000006,7.6558675125295705,3511618.5439519472,0.026000000000000002,1.2651,0.97,134815.1955859161,4,138.30094607112184,0.34156652977544777,814.3403840174769,4.584953088250824,2.7293478945032987,1208,0.075,0.67,2666.7131656578435
0.024000000000000007,7.652900403542354,3957045.675619385,0.026000000000000002,1.2591,0.97,153666.94277378885,4,138.30094607112184,0.34209357758763925,814.3403840174769,4.581849737695614,2.7289570882591003,1208,0.075,0.67,3034.4753011566922
0.02600000000000001,7.65038937408702,3614353.790693014,0.026000000000000002,1.2628,0.97,139370.07744644966,4,138.30094607112184,0.3425341740497254,814.3403840174769,4.579255427950636,2.728599772086659,1208,0.075,0.67,2751.893255636967
0.02800000000000001,7.647492661962409,3874712.6505108187,0.026000000000000002,1.261,0.97,149924.22482115286,4,138.30094607112184,0.3430478418762295,814.3403840174769,4.576230861113055,2.7282139589731242,1208,0.075,0.67,2966.0512796611642
0.030000000000000013,7.644887360140909,3735602.139722174,0.026000000000000002,1.2628,0.97,144045.433754391,4,138.2258947895633,0.34341441095807035,814.4559447340697,4.573623462112006,2.7278494870708325,1208,0.075,0.67,2851.211337122839
0.032000000000000015,7.6420863480729295,3735602.139722174,0.026000000000000002,1.2607,0.97,144624.50736726102,4,138.2258947895633,0.3439095010694393,814.4559447340697,4.570706287403189,2.727470559600301,1208,0.075,0.67,2852.2132100464046
